freq,wst_oper,material,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,RCV_R_B,MF6,THS_T,EU27_2020	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,FR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,HR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,HU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,IT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,LU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,PL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,RO	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,SE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,THS_T,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,AT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,CZ	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,DE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,ES	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,EU27_2020	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,FR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,HR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,HU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,IT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,LU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,PL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,RO	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,SE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,MF6,T_HAB,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,RCV_R_B,TOTAL,THS_T,AT	14982 	20594 s	26207 	27712 s	29218 	28877 s	28537 	29512 s	30487 	31797 s	33106 	35656 s	37059 s
A,RCV_R_B,TOTAL,THS_T,BE	9360 	12685 s	16009 	15958 s	15907 	17049 s	18191 	17329 s	16467 	21839 s	27210 	24480 s	25759 s
A,RCV_R_B,TOTAL,THS_T,BG	1922 	1855 s	1789 	2667 s	3546 	4554 s	5562 	4111 s	2661 	5111 s	7561 	6640 s	7185 s
A,RCV_R_B,TOTAL,THS_T,CY	1372 	878 s	385 	482 s	579 	650 s	722 	694 s	666 	580 s	495 	514 s	493 s
A,RCV_R_B,TOTAL,THS_T,CZ	12787 	12929 s	13071 	13891 s	14712 	16033 s	17355 	22611 s	27868 b	28637 s	29414 	30545 s	32479 s
A,RCV_R_B,TOTAL,THS_T,DE	223603 	223443 s	223283 	226371 s	229454 	235493 s	241531 	242852 s	244174 	243461 s	242707 	249674 s	252252 s
A,RCV_R_B,TOTAL,THS_T,DK	7673 	7674 s	7676 	9002 s	10328 	10019 s	9710 	11718 s	13726 	13120 s	12515 	14156 s	14845 s
A,RCV_R_B,TOTAL,THS_T,EE	5930 	8996 s	12062 	9319 s	6577 	6419 s	6261 	7133 s	8004 	8403 s	8801 	8424 s	8837 s
A,RCV_R_B,TOTAL,THS_T,EL	11715 	10027 s	8339 	7959 s	7579 	5460 s	3341 	4665 s	5989 	6528 s	7067 p	6167 s	6562 s
A,RCV_R_B,TOTAL,THS_T,ES	79989 	67826 s	55662 	51172 s	46682 	44699 s	42716 	49220 s	55724 	52008 s	48292 	51866 s	53383 s
A,RCV_R_B,TOTAL,THS_T,EU27_2020	904973 	906265 s	907557 	905663 s	903763 	912894 s	922025 	956041 s	990057 	979319 s	968469 	1002587 s	1019256 s
A,RCV_R_B,TOTAL,THS_T,FI	31854 	31711 s	31568 	22124 s	12680 	10811 s	8943 	11547 s	14152 	12760 s	11369 	6385 s	6008 s
A,RCV_R_B,TOTAL,THS_T,FR	198249 	193508 s	188767 	189422 s	190077 	193210 s	196342 	204456 s	212570 	199267 s	185965 	199554 s	200258 s
A,RCV_R_B,TOTAL,THS_T,HR	403 	719 s	1035 	1337 s	1639 	1754 s	1869 	1978 s	2087 	2277 s	2467 	2755 s	2949 s
A,RCV_R_B,TOTAL,THS_T,HU	4982 	4899 s	4815 	5587 s	6359 	7041 s	7723 	9407 s	11091 	12750 s	14409 	13904 s	14873 s
A,RCV_R_B,TOTAL,THS_T,IE	3100 	2797 s	2495 	3608 s	4721 	5586 s	6451 	6945 s	7439 	8082 s	8725 	9433 s	10103 s
A,RCV_R_B,TOTAL,THS_T,IT	90949 	94072 s	97196 	97071 s	96947 	100866 s	104785 	109463 s	114141 	116535 s	118929 	120808 s	123660 s
A,RCV_R_B,TOTAL,THS_T,LT	1062 	1064 s	1065 	1170 s	1275 	1419 s	1563 	1474 s	1385 	1449 s	1513 	1633 s	1697 s
A,RCV_R_B,TOTAL,THS_T,LU	6163 	6394 s	6625 	5841 s	5057 	5868 s	6678 	7175 s	7672 	7437 s	7202 	7479 s	7634 s
A,RCV_R_B,TOTAL,THS_T,LV	312 	558 s	804 	653 s	502 	759 s	1017 	963 s	910 	1051 s	1193 	1226 s	1300 s
A,RCV_R_B,TOTAL,THS_T,MT	177 	362 s	547 	689 s	831 	961 s	1091 	1447 s	1803 	2396 s	2989 	2722 s	2974 s
A,RCV_R_B,TOTAL,THS_T,NL	55155 	55601 s	56046 	55573 s	55099 	57567 s	60036 	59236 s	58436 	57116 s	55797 	58444 s	58705 s
A,RCV_R_B,TOTAL,THS_T,PL	108113 	110747 s	113381 	119882 s	126384 	117458 s	108532 	108119 s	107706 	100131 s	92557 	100927 s	99596 s
A,RCV_R_B,TOTAL,THS_T,PT	4083 	4322 s	4562 	5057 s	5551 	5265 s	4979 	5274 s	5569 	5691 s	5813 	6034 s	6188 s
A,RCV_R_B,TOTAL,THS_T,RO	7519 	8081 s	8643 	8105 s	7567 	7638 s	7710 	7287 s	6865 	7583 s	8301 	7661 s	7727 s
A,RCV_R_B,TOTAL,THS_T,SE	16089 	17470 s	18852 	17942 s	17033 	19880 s	22727 	21524 s	20321 	20636 s	20870 	22442 s	22985 s
A,RCV_R_B,TOTAL,THS_T,SI	3874 	3959 s	4045 	4341 s	4637 	4420 s	4204 	5979 s	7755 	7153 s	6552 	7421 s	7804 s
A,RCV_R_B,TOTAL,THS_T,SK	3554 	3092 s	2629 	2726 s	2823 	3136 s	3448 	3920 s	4392 	5521 s	6651 	5636 s	5941 s
A,RCV_R_B,TOTAL,T_HAB,AT	1.791 	2.454 s	3.109 	3.268 s	3.419 	3.341 s	3.266 	3.355 s	3.449 	3.581 s	3.713 	3.981 s	4.099 s
A,RCV_R_B,TOTAL,T_HAB,BE	0.859 	1.149 s	1.441 	1.43 s	1.419 	1.512 s	1.605 	1.523 s	1.441 	1.901 s	2.358 	2.113 s	2.204 s
A,RCV_R_B,TOTAL,T_HAB,BG	0.26 	0.252 s	0.245 	0.367 s	0.491 	0.634 s	0.78 	0.581 s	0.379 	0.733 s	1.09 	0.965 s	1.111 s
A,RCV_R_B,TOTAL,T_HAB,CY	1.654 	1.032 s	0.445 	0.559 s	0.679 	0.767 s	0.847 	0.807 s	0.765 	0.658 s	0.555 	0.571 s	0.54 s
A,RCV_R_B,TOTAL,T_HAB,CZ	1.221 	1.232 s	1.244 	1.321 s	1.398 	1.52 s	1.642 	2.134 s	2.622 b	2.683 s	2.749 	2.907 s	3.043 s
A,RCV_R_B,TOTAL,T_HAB,DE	2.734 	2.783 s	2.776 	2.807 s	2.833 	2.883 s	2.933 	2.938 s	2.945 	2.93 s	2.919 	3.001 s	3.01 s
A,RCV_R_B,TOTAL,T_HAB,DK	1.383 	1.378 s	1.373 	1.603 s	1.83 	1.763 s	1.695 	2.033 s	2.369 	2.256 s	2.146 	2.417 s	2.515 s
A,RCV_R_B,TOTAL,T_HAB,EE	4.454 	6.777 s	9.119 	7.071 s	5.003 	4.88 s	4.758 	5.414 s	6.055 	6.332 s	6.619 	6.329 s	6.552 s
A,RCV_R_B,TOTAL,T_HAB,EL	1.053 	0.903 s	0.755 	0.726 s	0.696 	0.505 s	0.31 	0.434 s	0.558 	0.609 s	0.661 p	0.583 s	0.629 s
A,RCV_R_B,TOTAL,T_HAB,ES	1.717 	1.451 s	1.19 	1.098 s	1.004 	0.962 s	0.919 	1.056 s	1.191 	1.103 s	1.02 	1.094 s	1.117 s
A,RCV_R_B,TOTAL,T_HAB,EU27_2020	2.052 	2.058 s	2.058 	2.049 s	2.039 	2.055 s	2.071 	2.144 s	2.217 	2.191 s	2.165 	2.243 s	2.28 s
A,RCV_R_B,TOTAL,T_HAB,FI	5.939 	5.885 s	5.831 	4.068 s	2.322 	1.973 s	1.627 	2.096 s	2.566 	2.311 s	2.056 	1.152 s	1.081 s
A,RCV_R_B,TOTAL,T_HAB,FR	3.059 	2.971 s	2.885 	2.88 s	2.866 	2.903 s	2.943 	3.055 s	3.165 	2.957 s	2.752 	2.945 s	2.946 s
A,RCV_R_B,TOTAL,T_HAB,HR	0.094 	0.168 s	0.242 	0.314 s	0.387 	0.417 s	0.448 	0.479 s	0.51 	0.56 s	0.61 	0.698 s	0.765 s
A,RCV_R_B,TOTAL,T_HAB,HU	0.498 	0.491 s	0.485 	0.565 s	0.644 	0.715 s	0.787 	0.961 s	1.135 	1.305 s	1.478 	1.432 s	1.542 s
A,RCV_R_B,TOTAL,T_HAB,IE	0.68 	0.611 s	0.542 	0.78 s	1.014 	1.188 s	1.357 	1.445 s	1.528 	1.638 s	1.75 	1.874 s	1.971 s
A,RCV_R_B,TOTAL,T_HAB,IT	1.534 	1.584 s	1.632 	1.612 s	1.595 	1.661 s	1.728 	1.808 s	1.889 	1.951 s	2.001 	2.043 s	2.098 s
A,RCV_R_B,TOTAL,T_HAB,LT	0.343 	0.351 s	0.356 	0.396 s	0.435 	0.489 s	0.545 	0.521 s	0.494 	0.519 s	0.541 	0.583 s	0.599 s
A,RCV_R_B,TOTAL,T_HAB,LU	12.158 	12.336 s	12.477 	10.75 s	9.091 	10.301 s	11.474 	12.031 s	12.619 	11.995 s	11.425 	11.684 s	11.689 s
A,RCV_R_B,TOTAL,T_HAB,LV	0.149 	0.271 s	0.395 	0.324 s	0.252 	0.384 s	0.519 	0.496 s	0.472 	0.549 s	0.628 	0.651 s	0.692 s
A,RCV_R_B,TOTAL,T_HAB,MT	0.427 	0.869 s	1.302 	1.618 s	1.913 	2.16 s	2.396 	3.092 s	3.72 	4.754 s	5.801 	5.249 s	5.6 s
A,RCV_R_B,TOTAL,T_HAB,NL	3.32 	3.331 s	3.345 	3.307 s	3.267 	3.398 s	3.525 	3.458 s	3.391 	3.293 s	3.199 	3.333 s	3.316 s
A,RCV_R_B,TOTAL,T_HAB,PL	2.842 	2.91 s	2.979 	3.151 s	3.325 	3.092 s	2.858 	2.847 s	2.836 	2.637 s	2.442 	2.674 s	2.705 s
A,RCV_R_B,TOTAL,T_HAB,PT	0.386 	0.409 s	0.434 	0.484 s	0.534 	0.508 s	0.482 	0.512 s	0.542 	0.553 s	0.564 	0.582 s	0.594 s
A,RCV_R_B,TOTAL,T_HAB,RO	0.371 	0.401 s	0.431 	0.406 s	0.38 	0.385 s	0.391 	0.372 s	0.353 	0.391 s	0.431 	0.401 s	0.406 s
A,RCV_R_B,TOTAL,T_HAB,SE	1.716 	1.849 s	1.98 	1.869 s	1.757 	2.029 s	2.29 	2.14 s	1.997 	2.008 s	2.016 	2.155 s	2.192 s
A,RCV_R_B,TOTAL,T_HAB,SI	1.891 	1.929 s	1.966 	2.107 s	2.249 	2.142 s	2.036 	2.894 s	3.739 	3.425 s	3.116 	3.52 s	3.695 s
A,RCV_R_B,TOTAL,T_HAB,SK	0.659 	0.573 s	0.486 	0.504 s	0.521 	0.578 s	0.635 	0.721 s	0.806 	1.012 s	1.218 	1.035 s	1.094 s
A,TRT,MF1,THS_T,AT	5443 s	5793 s	6144 s	6171 s	6203 s	7013 s	7822 s	7795 s	7769 s	7603 s	7437 s	8310 s	8571 s
A,TRT,MF1,THS_T,BE	6904 s	8798 s	10691 s	10657 s	10622 s	11112 s	11601 s	11593 s	11585 s	11106 s	10628 s	12613 s	13116 s
A,TRT,MF1,THS_T,BG	2757 s	2950 s	3142 s	3271 s	3400 s	3085 s	2770 s	2303 s	1837 s	2101 s	2364 s	2100 s	2004 s
A,TRT,MF1,THS_T,CY	533 s	453 s	373 s	359 s	345 s	369 s	393 s	390 s	388 s	393 s	399 s	434 s	452 s
A,TRT,MF1,THS_T,CZ	3428 s	3393 s	3358 s	3352 s	3347 s	3523 s	3700 s	4056 s	4412 s	4562 s	4711 s	4684 s	4835 s
A,TRT,MF1,THS_T,DE	42368 s	43660 s	44952 s	45442 s	45927 s	46890 s	47854 s	47338 s	46822 s	46655 s	46488 s	49588 s	50614 s
A,TRT,MF1,THS_T,DK	3920 s	3765 s	3610 s	3580 s	3550 s	3666 s	3783 s	3919 s	4055 s	4129 s	4204 s	4141 s	4223 s
A,TRT,MF1,THS_T,EE	1351 s	1181 s	1011 s	910 s	808 s	853 s	897 s	818 s	739 s	665 s	591 s	623 s	623 s
A,TRT,MF1,THS_T,EL	4297 s	4041 s	3786 s	3782 s	3777 s	3791 s	3805 s	3869 s	3933 s	3872 s	3810 s	3839 s	3862 s
A,TRT,MF1,THS_T,ES	26681 s	22330 s	17979 s	16877 s	15776 s	14629 s	13482 s	13758 s	14034 s	13269 s	12504 s	10656 s	10065 s
A,TRT,MF1,THS_T,EU27_2020	257050 s	253613 s	250176 s	245139 s	240101 s	242331 s	244561 s	244146 s	243730 s	241258 s	238807 s	245535 s	248271 s
A,TRT,MF1,THS_T,FI	14645 s	15175 s	15704 s	11296 s	6887 s	6755 s	6622 s	6814 s	7006 s	6757 s	6507 s	4778 s	4250 s
A,TRT,MF1,THS_T,FR	39825 s	38333 s	36841 s	37332 s	37824 s	38194 s	38563 s	39385 s	40207 s	41756 s	43306 s	41758 s	42342 s
A,TRT,MF1,THS_T,HR	1378 s	1321 s	1263 s	1369 s	1474 s	1604 s	1733 s	1738 s	1743 s	1749 s	1756 s	1974 s	2054 s
A,TRT,MF1,THS_T,HU	3662 s	3669 s	3675 s	3616 s	3557 s	3333 s	3109 s	3265 s	3420 s	4133 s	4847 s	3988 s	4046 s
A,TRT,MF1,THS_T,IE	1531 s	1392 s	1254 s	1127 s	1001 s	1069 s	1136 s	1221 s	1306 s	1292 s	1277 s	1203 s	1259 s
A,TRT,MF1,THS_T,IT	30215 s	29994 s	29773 s	29341 s	28908 s	29676 s	30445 s	29986 s	29528 s	29069 s	28610 s	31792 s	32764 s
A,TRT,MF1,THS_T,LT	1451 s	1239 s	1028 s	919 s	811 s	708 s	605 s	574 s	543 s	584 s	625 s	521 s	536 s
A,TRT,MF1,THS_T,LU	199 s	210 s	222 s	233 s	245 s	267 s	290 s	290 s	290 s	413 s	536 s	480 s	518 s
A,TRT,MF1,THS_T,LV	469 s	532 s	596 s	538 s	480 s	510 s	540 s	435 s	330 s	410 s	490 s	462 s	494 s
A,TRT,MF1,THS_T,MT	162 s	146 s	131 s	135 s	139 s	133 s	128 s	135 s	142 s	177 s	211 s	173 s	177 s
A,TRT,MF1,THS_T,NL	24181 s	24261 s	24341 s	24302 s	24264 s	24533 s	24803 s	24376 s	23949 s	24185 s	24422 s	24708 s	24811 s
A,TRT,MF1,THS_T,PL	18415 s	18208 s	18001 s	18336 s	18670 s	18348 s	18027 s	17669 s	17312 s	13391 s	9471 s	13499 s	13155 s
A,TRT,MF1,THS_T,PT	4684 s	4428 s	4172 s	4089 s	4006 s	3629 s	3252 s	3206 s	3161 s	3801 s	4441 s	3421 s	3349 s
A,TRT,MF1,THS_T,RO	7688 s	7653 s	7619 s	7437 s	7256 s	7260 s	7263 s	7018 s	6772 s	6817 s	6862 s	6768 s	6795 s
A,TRT,MF1,THS_T,SE	7131 s	7064 s	6998 s	7286 s	7574 s	8035 s	8496 s	8809 s	9122 s	8961 s	8821 s	9587 s	9868 s
A,TRT,MF1,THS_T,SI	1462 s	1303 s	1144 s	1077 s	1009 s	897 s	786 s	784 s	781 s	754 s	728 s	650 s	641 s
A,TRT,MF1,THS_T,SK	2271 s	2320 s	2369 s	2306 s	2243 s	2449 s	2656 s	2601 s	2546 s	2653 s	2760 s	2785 s	2849 s
A,TRT,MF1,T_HAB,AT	0.651 s	0.69 s	0.729 s	0.728 s	0.726 s	0.811 s	0.895 s	0.886 s	0.879 s	0.856 s	0.834 s	0.928 s	0.948 s
A,TRT,MF1,T_HAB,BE	0.634 s	0.797 s	0.963 s	0.955 s	0.948 s	0.986 s	1.024 s	1.019 s	1.014 s	0.967 s	0.921 s	1.089 s	1.122 s
A,TRT,MF1,T_HAB,BG	0.373 s	0.401 s	0.43 s	0.45 s	0.471 s	0.43 s	0.389 s	0.326 s	0.261 s	0.301 s	0.341 s	0.305 s	0.31 s
A,TRT,MF1,T_HAB,CY	0.643 s	0.532 s	0.432 s	0.416 s	0.404 s	0.435 s	0.461 s	0.454 s	0.446 s	0.446 s	0.448 s	0.483 s	0.495 s
A,TRT,MF1,T_HAB,CZ	0.327 s	0.323 s	0.319 s	0.319 s	0.318 s	0.334 s	0.35 s	0.383 s	0.415 s	0.427 s	0.44 s	0.446 s	0.453 s
A,TRT,MF1,T_HAB,DE	0.518 s	0.544 s	0.559 s	0.563 s	0.567 s	0.574 s	0.581 s	0.573 s	0.565 s	0.561 s	0.559 s	0.596 s	0.604 s
A,TRT,MF1,T_HAB,DK	0.707 s	0.676 s	0.646 s	0.638 s	0.629 s	0.645 s	0.66 s	0.68 s	0.7 s	0.71 s	0.721 s	0.707 s	0.715 s
A,TRT,MF1,T_HAB,EE	1.015 s	0.89 s	0.765 s	0.69 s	0.615 s	0.648 s	0.682 s	0.621 s	0.559 s	0.501 s	0.444 s	0.468 s	0.462 s
A,TRT,MF1,T_HAB,EL	0.386 s	0.364 s	0.343 s	0.345 s	0.347 s	0.35 s	0.353 s	0.36 s	0.366 s	0.361 s	0.356 s	0.363 s	0.37 s
A,TRT,MF1,T_HAB,ES	0.573 s	0.478 s	0.384 s	0.362 s	0.339 s	0.315 s	0.29 s	0.295 s	0.3 s	0.282 s	0.264 s	0.225 s	0.211 s
A,TRT,MF1,T_HAB,EU27_2020	0.583 s	0.576 s	0.567 s	0.555 s	0.542 s	0.546 s	0.549 s	0.548 s	0.546 s	0.54 s	0.534 s	0.549 s	0.555 s
A,TRT,MF1,T_HAB,FI	2.731 s	2.816 s	2.901 s	2.077 s	1.261 s	1.233 s	1.205 s	1.237 s	1.27 s	1.224 s	1.177 s	0.862 s	0.765 s
A,TRT,MF1,T_HAB,FR	0.614 s	0.589 s	0.563 s	0.568 s	0.57 s	0.574 s	0.578 s	0.589 s	0.599 s	0.62 s	0.641 s	0.616 s	0.623 s
A,TRT,MF1,T_HAB,HR	0.321 s	0.308 s	0.296 s	0.322 s	0.348 s	0.381 s	0.415 s	0.421 s	0.426 s	0.43 s	0.434 s	0.5 s	0.532 s
A,TRT,MF1,T_HAB,HU	0.366 s	0.368 s	0.37 s	0.366 s	0.361 s	0.339 s	0.317 s	0.334 s	0.35 s	0.423 s	0.497 s	0.411 s	0.42 s
A,TRT,MF1,T_HAB,IE	0.336 s	0.304 s	0.273 s	0.244 s	0.215 s	0.227 s	0.239 s	0.254 s	0.268 s	0.262 s	0.256 s	0.239 s	0.246 s
A,TRT,MF1,T_HAB,IT	0.51 s	0.505 s	0.5 s	0.487 s	0.476 s	0.489 s	0.502 s	0.495 s	0.489 s	0.487 s	0.481 s	0.538 s	0.556 s
A,TRT,MF1,T_HAB,LT	0.468 s	0.409 s	0.344 s	0.311 s	0.277 s	0.244 s	0.211 s	0.203 s	0.194 s	0.209 s	0.223 s	0.186 s	0.189 s
A,TRT,MF1,T_HAB,LU	0.393 s	0.406 s	0.418 s	0.429 s	0.44 s	0.469 s	0.498 s	0.486 s	0.478 s	0.666 s	0.85 s	0.75 s	0.792 s
A,TRT,MF1,T_HAB,LV	0.223 s	0.258 s	0.293 s	0.267 s	0.241 s	0.258 s	0.276 s	0.224 s	0.171 s	0.214 s	0.258 s	0.245 s	0.263 s
A,TRT,MF1,T_HAB,MT	0.39 s	0.352 s	0.312 s	0.317 s	0.319 s	0.299 s	0.281 s	0.288 s	0.293 s	0.351 s	0.41 s	0.333 s	0.333 s
A,TRT,MF1,T_HAB,NL	1.455 s	1.453 s	1.453 s	1.446 s	1.439 s	1.448 s	1.456 s	1.423 s	1.39 s	1.394 s	1.4 s	1.409 s	1.402 s
A,TRT,MF1,T_HAB,PL	0.484 s	0.478 s	0.473 s	0.482 s	0.491 s	0.483 s	0.475 s	0.465 s	0.456 s	0.353 s	0.25 s	0.358 s	0.357 s
A,TRT,MF1,T_HAB,PT	0.443 s	0.419 s	0.397 s	0.391 s	0.385 s	0.35 s	0.315 s	0.311 s	0.307 s	0.37 s	0.431 s	0.33 s	0.322 s
A,TRT,MF1,T_HAB,RO	0.38 s	0.38 s	0.38 s	0.372 s	0.364 s	0.366 s	0.369 s	0.358 s	0.348 s	0.352 s	0.356 s	0.354 s	0.357 s
A,TRT,MF1,T_HAB,SE	0.76 s	0.748 s	0.735 s	0.759 s	0.781 s	0.82 s	0.856 s	0.876 s	0.896 s	0.872 s	0.852 s	0.92 s	0.941 s
A,TRT,MF1,T_HAB,SI	0.714 s	0.635 s	0.556 s	0.523 s	0.489 s	0.435 s	0.381 s	0.379 s	0.377 s	0.361 s	0.346 s	0.308 s	0.303 s
A,TRT,MF1,T_HAB,SK	0.421 s	0.43 s	0.438 s	0.426 s	0.414 s	0.452 s	0.489 s	0.478 s	0.467 s	0.486 s	0.506 s	0.511 s	0.524 s
A,TRT,MF2,THS_T,AT	2074 s	2294 s	2514 s	2900 s	3286 s	3234 s	3182 s	3057 s	2932 s	2924 s	2915 s	3332 s	3420 s
A,TRT,MF2,THS_T,BE	3156 s	3212 s	3268 s	3045 s	2822 s	2470 s	2117 s	1825 s	1532 s	2583 s	3634 s	2431 s	2418 s
A,TRT,MF2,THS_T,BG	1339 s	1218 s	1098 s	1121 s	1144 s	1062 s	979 s	985 s	991 s	966 s	941 s	1100 s	1170 s
A,TRT,MF2,THS_T,CY	73 s	55 s	37 s	36 s	35 s	36 s	38 s	37 s	37 s	33 s	29 s	37 s	37 s
A,TRT,MF2,THS_T,CZ	2325 s	2387 s	2448 s	2372 s	2296 s	2321 s	2346 s	2334 s	2322 s	2178 s	2042 s	2169 s	2147 s
A,TRT,MF2,THS_T,DE	15009 s	15431 s	15852 s	16444 s	17036 s	16515 s	15994 s	16506 s	17018 s	16540 s	16058 s	17038 s	17221 s
