freq,wst_oper,material,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DSP_I,MF2,T_HAB,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF2,T_HAB,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,CZ	0 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF2,T_HAB,DE	0.009 s	0.008 s	0.008 s	0.006 s	0.005 s	0.004 s	0.003 s	0.002 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF2,T_HAB,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,ES	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,EU27_2020	0.005 s	0.004 s	0.004 s	0.003 s	0.003 s	0.003 s	0.002 s	0.002 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF2,T_HAB,FI	0.004 s	0.004 s	0.003 s	0.004 s	0.005 s	0.003 s	0.001 s	0.001 s	0.001 s	0.002 s	0.002 s	0.001 s	0.001 s
A,DSP_I,MF2,T_HAB,FR	0.008 s	0.008 s	0.008 s	0.007 s	0.006 s	0.006 s	0.005 s	0.005 s	0.004 s	0.004 s	0.004 s	0.003 s	0.002 s
A,DSP_I,MF2,T_HAB,HR	0.001 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF2,T_HAB,HU	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF2,T_HAB,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
